Environmental variables and gene frequencies: p. 447, Cahiers 1993 (4).
 16 10 SUPC 3 3 3    p4 p6 p8 pa pc pd   tm HH PP TM 
SS   0	3	22	57	17	1 500	43	98	17	
SB   0	16	20	38	13	13 800	20	92	32	
WSB  0	6	28	46	17	3 570	28	98	26	
JRC  0	4	19	47	27	3 550	28	98	26	
JRH  0	1	8	50	35	6 550	28	98	26	
SJ   0	2	19	44	32	3 380	15	99	28	
CR   0	0	15	50	27	8 930	21	99	28	
UO  10	21	40	25	4	0 650	10	101	27	
LO  14	26	32	28	0	0 600	10	101	27	
DP   0	1	6	80	12	1 1500 19	99	23	
PZ   1	4	34	33	22	6 1750 22	101	27	
MC   0	7	14	66	13	0 2000	58	100	18	
IF   0	9	15	47	21	8 2500	34	102	16	
AF   3	7	17	32	27	14 2000	21	105	20	
GH   0	5	7	84	4	0 7850	42	84	5	
GL   0	3	1	92	4       0 10500 50	81	-12
Sup  1  1       1       1      1        1 0     0       0       0    

