Arak - Lebanon: Cahiers 1994 (4).
20 15 SUPNO 10 8 6 QUN QLT QEQ QGE QGT AUN ALT AEQ AGE AGT PUN PLT PEQ PGE PGT
KA 49 10 27  6  0 49 10 27  6  0 52  6 29  5  0 
SA 39  9 43  1  0 39  9 43  1  0 43  9 35  4  1
KH 51  1 26  8  6 51  1 26  8  6 52  8 24  7  1
MO 86  3  2  1  0 86  3  2  1  0 86  1  5  0  0 
TO 21  4 16 36 15 21  4 16 36 15 22  4 46 16  4
GA 27  3 26 27  9 27  3 26 27  9 28 10 45  7  2
KS 45  1  7 14 25 45  1  7 14 25 48  6  6 18 14
BA 77  2 12  1  0 77  2 12  1  0 78  3  9  2  0
SE 69  2 15  6  0 69  2 15  6  0 69  4 15  4  0
RE 79  1  8  4  0 79  1  8  4  0 80  4  7  1  0
AK 68  4 11  9  0 68  4 11  9  0 67  3 20  2  0
HA 72  6 10  4  0 72  6 10  4  0 72  7 10  3  0
DE 83  2  6  1  0 83  2  6  1  0 84  2  6  0  0 
EX 68  0  2  7 15 68  2  7 15  0 68  2  3 14  5
MA 57  0 10 18  7 57  2 10 18  7 57  2 17 12  4
ME 79  2  5  5  1 79  2  5  5  1 80  0  6  3  3 
BR 79  2  3  3  5 79  2  3  3  5 79  0  4  3  6
ES 82  1  5  4  0 82  1  5  4  0 84  0  7  1  0
KE 74  3  4  8  3 74  3  4  8  3 75  1 10  6  0
LI 79  2  8  3  0 79  2  8  3  0 79  2 11  0  0 
