  1 0.71348 0.41293 0.00253 0.01289 0.01002 0.00253 0.01374 0.01066 0.00253 0.01045 0.00819
  2 0.24248 0.56308 0.00492 0.00658 0.00653 0.00574 0.00695 0.00619 0.00354 0.00460 0.00517
  2 0.60232 0.37933 0.00521 0.00570 0.00523 0.00545 0.00621 0.00559 0.00519 0.00607 0.00501
  1 0.80103 0.48530 0.00615 0.00788 0.00748 0.00658 0.00846 0.00783 0.00511 0.00679 0.00596
  2 0.75523 0.52110 0.00845 0.00988 0.00871 0.00940 0.01186 0.01029 0.00772 0.00981 0.00875
  1 0.50862 0.50758 0.00564 0.00702 0.00643 0.00646 0.00801 0.00701 0.00548 0.00627 0.00552
  1 0.13133 0.74127 0.00338 0.00337 0.00304 0.00449 0.00585 0.00294 0.00186 0.00310 0.00448
  2 0.74852 0.49119 0.01476 0.01836 0.01447 0.01889 0.02274 0.01820 0.01516 0.01833 0.01452
  2 0.74040 0.47223 0.00759 0.00956 0.00775 0.00902 0.01095 0.00928 0.00763 0.00966 0.00850
  1 0.64739 0.93872 0.00499 0.00589 0.00646 0.00801 0.00917 0.00870 0.00631 0.00744 0.00789
  2 0.81074 0.50965 0.00502 0.00497 0.00431 0.00567 0.00615 0.00541 0.00525 0.00556 0.00506
  1 0.20835 0.39623 0.00633 0.00710 0.00645 0.00759 0.00853 0.00664 0.00638 0.00724 0.00570
  1 0.24228 0.46885 0.00590 0.01036 0.01026 0.00959 0.01393 0.01365 0.01016 0.01340 0.01250
  1 0.22824 0.44010 0.00454 0.00551 0.00452 0.00548 0.00627 0.00508 0.00497 0.00548 0.00469
  1 0.33635 0.50330 0.00601 0.00719 0.00628 0.00667 0.00816 0.00676 0.00555 0.00636 0.00540
  1 0.43387 0.56578 0.00591 0.00717 0.00710 0.00620 0.00719 0.00663 0.00437 0.00538 0.00430
  2 0.71407 0.53124 0.00831 0.01126 0.01037 0.01090 0.01406 0.01260 0.00901 0.01143 0.01034
  1 0.24075 0.43520 0.00306 0.00509 0.00483 0.00531 0.00762 0.00718 0.00564 0.00762 0.00716
