









    3   27   14    0    1       0.0
    110.40      1.76      0.07      7.80
    102.80      1.55      0.07      8.90
    101.00      2.73      0.07      8.90
    108.40      2.73      0.07      7.20
    100.70      2.56      0.07      8.40
    100.30      2.80      0.07      8.70
     93.70      1.84      0.07      8.70
     96.60      1.98      0.02      7.60
     96.20      0.80      0.02      6.70
     99.00      0.80      0.02      6.20
     88.40      1.05      0.02      7.00
     75.30      1.80      0.02      7.30
     77.10      2.30      0.02      8.20
     65.70      1.91      0.47      8.30
     56.80      1.91      0.47      8.20
     62.10      1.91      0.47      6.90
     53.20      2.13      0.47      7.60
     59.40      2.13      0.47      6.90
     58.70      1.51      0.47      7.50
     58.00      2.05      0.47      7.60
    102.80      2.80      0.07      7.40
     98.90      2.16      0.07      8.80
     99.40      0.59      0.02      6.50
     92.00      1.80      0.02      6.50
     82.40      1.77      0.02      7.60
     74.00      2.03      0.47      7.60
     61.00      0.76      0.47      7.40
