 0.516 0.000 0.374 0.109 0.109 0.122 0.107 0.000 0.000 0.000 0.187 0.000 0.000 0.141 0.101
 0.101 0.000 0.457 0.000 0.000 0.000 0.002 0.028 0.000 0.124 0.037 0.000 0.000 0.028     1
 0.568 0.000 0.508 0.149 0.000 0.000 0.178 0.000 0.000 0.000 0.290 0.290 0.000 0.000 0.158
 0.158 0.000 0.213 0.213 0.019 0.019 0.000 0.050 0.000 0.000 0.000 0.000 0.000 0.000     1
 0.450 0.000 0.000 0.174 0.000 0.288 0.138 0.000 0.000 0.031 0.173 0.000 0.000 0.189 0.000
 0.000 0.000 0.334 0.000 0.000 0.000 0.000 0.000 0.000 0.038 0.089 0.000 0.226 0.069     1
 0.515 0.000 0.752 0.082 0.000 0.546 0.000 0.000 0.000 0.206 0.118 0.000 1.042 0.221 0.000
 0.109 0.000 0.253 0.253 0.076 0.076 0.000 0.120 0.000 0.082 0.000 0.006 0.127 0.000     1
 0.306 0.000 0.338 0.245 0.000 0.480 0.000 0.000 0.000 0.000 0.000 0.000 0.755 0.216 0.000
 0.083 0.000 0.254 0.254 0.292 0.292 0.064 0.081 0.000 0.248 0.108 0.000 0.000 0.117     1
 0.206 0.000 0.627 0.000 0.000 0.421 0.261 0.000 0.000 0.000 0.000 0.000 0.000 0.227 0.000
 0.000 0.000 0.237 0.000 0.322 0.000 0.113 0.000 0.000 0.163 0.003 0.000 0.098 0.000     1
 0.073 0.000 0.157 0.230 0.000 0.290 0.266 0.085 0.000 0.000 0.000 0.000 0.043 0.000 0.119
 0.000 0.000 0.246 0.000 0.283 0.283 0.088 0.145 0.000 0.267 0.038 0.000 0.244 0.155     1
 0.272 0.000 0.649 0.000 0.000 0.525 0.383 0.000 0.000 0.000 0.000 0.000 0.000 0.127 0.000
 0.024 0.000 0.273 0.273 0.280 0.280 0.178 0.107 0.000 0.000 0.038 0.000 0.128 0.005     1
-0.001 0.000 0.000 0.000 0.000 0.352 0.000 0.057 0.000 0.005 0.000 0.000 0.000 0.197 0.000
 0.058 0.000 0.213 0.213 0.199 0.199 0.056 0.075 0.000 0.161 0.000 0.040 0.315 0.000     1
-0.486 0.000 0.000 0.050 0.050 0.098 0.065 0.000 0.000 0.037 0.000 0.093 0.000 0.096 0.000
 0.117 0.117 0.146 0.000 0.000 0.067 0.049 0.023 0.000 0.000 0.000 0.000 0.095 0.000     1
 0.113 0.000 0.470 0.215 0.215 0.320 0.000 0.141 0.000 0.000 0.000 0.108 0.000 0.000 0.079
 0.000 0.000 0.175 0.175 0.170 0.170 0.085 0.105 0.000 0.000 0.068 0.090 0.182 0.000     1
-0.305 0.000 0.007 0.060 0.060 0.069 0.070 0.000 0.000 0.000 0.000 0.000 0.000 0.074 0.000
 0.065 0.000 0.145 0.145 0.000 0.064 0.044 0.056 0.000 0.000 0.000 0.211 0.313 0.067     1
 0.047 0.000 0.032 0.145 0.145 0.265 0.000 0.210 0.000 0.168 0.000 0.177 0.000 0.007 0.000
 0.000 0.000 0.148 0.148 0.104 0.104 0.000 0.022 0.000 0.000 0.040 0.124 0.273 0.050     1
-0.331 0.000 0.000 0.022 0.022 0.065 0.000 0.144 0.000 0.106 0.000 0.182 0.000 0.044 0.000
 0.000 0.038 0.127 0.127 0.093 0.093 0.000 0.010 0.000 0.100 0.279 0.178 0.509 0.000     1
-0.613 0.058 0.000 0.000 0.000 0.026 0.000 0.031 0.000 0.009 0.000 0.039 0.000 0.015 0.000
 0.082 0.082 0.058 0.058 0.000 0.000 0.000 0.000 0.000 0.204 0.218 0.284 0.801 0.309     1
-0.569 0.000 0.000 0.000 0.014 0.032 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.042 0.000
 0.069 0.069 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.126 0.281 0.733 0.128     1
-0.760 0.000 0.000 0.014 0.000 0.000 0.000 0.000 0.017 0.000 0.000 0.014 0.000 0.000 0.000
 0.033 0.033 0.033 0.033 0.080 0.000 0.000 0.000 0.005 0.000 0.157 0.253 0.814 0.000     1
-0.789 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.011 0.000 0.000 0.003 0.004 0.004
 0.000 0.000 0.020 0.020 0.000 0.000 0.000 0.047 0.047 0.000 0.209 0.314 0.910 0.000     1
-0.930 0.000 0.000 0.004 0.004 0.015 0.006 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
 0.016 0.000 0.000 0.000 0.000 0.045 0.000 0.021 0.000 0.041 0.142 0.183 0.516 0.000     1
-0.954 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.003 0.003 0.000 0.000 0.000
 0.000 0.000 0.000 0.001 0.043 0.000 0.000 0.143 0.143 0.000 0.077 0.519 0.870 0.366     1
-0.989 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.000 0.000 0.000 0.000 0.000
 0.000 0.000 0.000 0.001 0.012 0.000 0.000 0.111 0.000 0.108 0.000 0.000 0.890 0.589     1
 0.469 0.022 0.903 0.000 0.000 0.205 0.153 0.000 0.000 0.103 0.125 0.000 0.663 0.147 0.000
 0.000 0.000 0.235 0.235 0.000 0.000 0.000 0.050 0.000 0.000 0.018 0.000 0.064 0.017     2
 0.587 0.000 1.779 0.164 0.164 0.559 0.000 0.000 0.375 0.133 0.121 0.000 0.568 0.104 0.000
 0.000 0.000 0.173 0.173 0.020 0.020 0.000 0.128 0.000 0.077 0.000 0.000 0.055 0.021     2
 0.454 0.023 1.144 0.046 0.000 0.722 0.148 0.000 0.544 0.000 0.116 0.116 0.479 0.000 0.000
 0.037 0.000 0.185 0.185 0.070 0.070 0.070 0.097 0.000 0.148 0.000 0.000 0.101 0.048     2
 0.453 0.000 1.399 0.000 0.000 0.847 0.499 0.000 0.465 0.000 0.000 0.000 0.576 0.123 0.000
