      3.00600     -2.67200     -1.83700     -1.30300    -0.534000     -5.54400
     -6.37900     -7.28100     -5.57800     -2.40500     -2.50500     -2.67200
     -6.88000     -10.0870     -8.81800     -6.48000     -7.04700     -4.20800
     0.935000     -2.40500     -3.47400     0.200000     -7.78200     -6.24600
     -1.60300     -9.98700     -4.44200     -5.11000     -8.45000     -8.68400
     -7.74900     -6.11200     -4.34200     -2.43800    -0.200000     -4.74300
     -4.60900     -4.00800    -0.768000     -5.04300     -7.18100      2.13800
     -8.48400     -3.20600     -4.54200     -8.75100     -7.24800     -6.88000
     -5.31100     -5.84500     -2.10400     0.568000     -9.58600     -7.58200
     -7.24800    -0.935000      1.50300      1.13600      1.03500      1.03500
     -3.10600     -2.47200   -0.0670000      3.40700      5.01000     0.534000
     -5.91200     -8.04900     -5.91200    -0.635000      2.67200    -0.735000
    -0.969000    -0.935000     -6.74700     -6.81400     -3.94100     -3.00600
     -3.44000     -2.70500     -4.64300     -3.03900    -0.935000     -1.70300
     -2.20400     0.768000      1.47000     -2.07100     -2.57200     -2.07100
     -3.14000      2.60500      1.70300     -7.84900     -4.87600     -1.20200
     -3.34000     -4.60900     -3.80800     -3.70700      3.24000      3.27300
    -0.969000     -1.93700      0.00000      5.74500     -3.10600     -1.50300
     -1.36900      1.73700      1.13600     -2.20400      1.47000      1.10200
    -0.100000     -2.50500     -2.93900      3.67400      5.94500    -0.301000
    -0.802000     0.601000     -3.74100     -3.70700     -2.63900     -1.53600
     -6.31300     -5.37700     -1.57000     -6.17900    -0.735000      5.61100
      1.83700     -4.44200     -1.33600     0.401000      2.57200      1.83700
      3.20600      3.03900      7.31500      1.47000     -1.00200      4.94300
      2.90600      1.43600      1.67000     -2.27100     -2.90600     0.167000
      2.13800     -3.80800     -6.44600     -5.67800     -5.84500     -4.24200
     -1.87000     0.534000    0.0670000      1.23600      4.24200      2.80600
   -0.0330000      3.60700      4.54200    -0.234000      3.90800      2.37100
      4.97700      4.37500      3.90800      4.94300      8.08300      5.54400
      4.67600      6.14600      10.3540      4.54200     -2.67200     0.534000
     -2.83900     0.668000      1.33600      1.93700      2.67200      2.60500
      3.90800      6.88000      11.5230     -1.57000    -0.701000      3.34000
      6.14600      7.64900      9.51900     0.701000      3.30700      7.58200
      4.91000      3.64100    -0.401000      4.14200      3.03900      1.03500
      3.20600     -3.97500     -4.14200     -3.00600     -3.24000     0.200000
     0.802000    -0.835000     -2.10400     -2.47200    -0.401000      1.97100
     0.334000     -4.47600     -4.94300     -6.07900     -3.27300     -1.60300
     0.134000      4.57600     -3.57400     -3.90800     -4.67600     -1.97100
    -0.234000     0.434000      3.30700    -0.735000     -4.40900      2.83900
     -1.93700     -9.28500     -6.27900     -1.93700     -4.97700     -2.80600
      4.27500     -2.80600     -7.81600     -3.00600     -1.13600     0.601000
     -2.23800     -3.27300     -2.10400      1.26900     -2.33800     -6.74700
